site_id,usgs_gage,sp_start,lat,long,fire_id,ign_date
NA,NA,NA,NA,NA,SD4308410285019840906,1984-09-06
NA,NA,NA,NA,NA,MT4880411345819840819,1984-08-19
NA,NA,NA,NA,NA,MT4533610695819840826,1984-08-26
NA,NA,NA,NA,NA,MT4561710632319840918,1984-09-18
NA,NA,NA,NA,NA,OK3698209465619840221,1984-02-21
NA,NA,NA,NA,NA,AZ3317511203319840807,1984-08-07
NA,NA,NA,NA,NA,AZ3316911195219840926,1984-09-26
NA,NA,NA,NA,NA,AZ3317411211019840530,1984-05-30
NA,NA,NA,NA,NA,WA4628912040319841017,1984-10-17
NA,NA,NA,NA,NA,OR4229711891819840628,1984-06-28
NA,NA,NA,NA,NA,CA3607412018819840329,1984-03-29
NA,NA,NA,NA,NA,CA3561111844619840526,1984-05-26
NA,NA,NA,NA,NA,CA3800412064719840624,1984-06-24
nwis-11273400,11273400,2009-10-07T06:59:59Z,-120.976,37.3472,CA3688312115819840705,1984-07-05
NA,NA,NA,NA,NA,CA3557911838819840707,1984-07-07
NA,NA,NA,NA,NA,CA3640611884819840829,1984-08-29
NA,NA,NA,NA,NA,CA3470111707519840512,1984-05-12
NA,NA,NA,NA,NA,NV4068311976419840530,1984-05-30
NA,NA,NA,NA,NA,CA4007812006619840705,1984-07-05
NA,NA,NA,NA,NA,CA4068311999419840706,1984-07-06
NA,NA,NA,NA,NA,CA4126012012019840809,1984-08-09
NA,NA,NA,NA,NA,CA3998112259119840712,1984-07-12
NA,NA,NA,NA,NA,CA3939212245119841024,1984-10-24
NA,NA,NA,NA,NA,ID4279811581219840624,1984-06-24
NA,NA,NA,NA,NA,ID4265511593019840628,1984-06-28
nwis-13173600,13173600,2008-10-29T05:59:59Z,-117.072,43.731,ID4311911611819840711,1984-07-11
nwis-13173600,13173600,2008-10-29T05:59:59Z,-117.072,43.731,ID4302311621119840712,1984-07-12
NA,NA,NA,NA,NA,ID4288511546819840713,1984-07-13
NA,NA,NA,NA,NA,ID4264111494719840719,1984-07-19
NA,NA,NA,NA,NA,ID4310211581619840720,1984-07-20
NA,NA,NA,NA,NA,ID4271211541519840727,1984-07-27
NA,NA,NA,NA,NA,ID4341311257219840717,1984-07-17
NA,NA,NA,NA,NA,MT4625810827219840825,1984-08-25
NA,NA,NA,NA,NA,NV4049111656919840626,1984-06-26
NA,NA,NA,NA,NA,NV3977411998919840706,1984-07-06
NA,NA,NA,NA,NA,NV3984911989219840705,1984-07-05
NA,NA,NA,NA,NA,NV3978111987619840714,1984-07-14
NA,NA,NA,NA,NA,NV3984011956819840814,1984-08-14
NA,NA,NA,NA,NA,NV4043811646219840803,1984-08-03
NA,NA,NA,NA,NA,NV4099711695019840830,1984-08-30
NA,NA,NA,NA,NA,NV3774511522219840531,1984-05-31
NA,NA,NA,NA,NA,NV4152711874819840624,1984-06-24
NA,NA,NA,NA,NA,NV4048011930319840625,1984-06-25
NA,NA,NA,NA,NA,NV4147111720519840706,1984-07-06
NA,NA,NA,NA,NA,NV4159311819619840711,1984-07-11
NA,NA,NA,NA,NA,NV4071511779419840718,1984-07-18
NA,NA,NA,NA,NA,NV4118711743819840804,1984-08-04
NA,NA,NA,NA,NA,NV4120511780619840823,1984-08-23
NA,NA,NA,NA,NA,OR4283811911619840709,1984-07-09
NA,NA,NA,NA,NA,OR4313011879219840726,1984-07-26
NA,NA,NA,NA,NA,OR4300911815919840804,1984-08-04
NA,NA,NA,NA,NA,OR4276411926519840804,1984-08-04
NA,NA,NA,NA,NA,OR4277211878619840812,1984-08-12
NA,NA,NA,NA,NA,OR4315712076019840711,1984-07-11
NA,NA,NA,NA,NA,OR4223911978319840726,1984-07-26
NA,NA,NA,NA,NA,OR4319011995219840804,1984-08-04
NA,NA,NA,NA,NA,OR4319612032519840809,1984-08-09
NA,NA,NA,NA,NA,OR4296312021419840809,1984-08-09
NA,NA,NA,NA,NA,OR4267311984019840809,1984-08-09
NA,NA,NA,NA,NA,OR4303311990019840810,1984-08-10
NA,NA,NA,NA,NA,OR4574712002419840809,1984-08-09
NA,NA,NA,NA,NA,OR4546712084319840811,1984-08-11
NA,NA,NA,NA,NA,OR4334211814819840802,1984-08-02
NA,NA,NA,NA,NA,OR4323711801419840823,1984-08-23
NA,NA,NA,NA,NA,UT3870611356719840619,1984-06-19
NA,NA,NA,NA,NA,UT3977011257819840708,1984-07-08
NA,NA,NA,NA,NA,WA4642711956919840812,1984-08-12
NA,NA,NA,NA,NA,CA3509712015419840528,1984-05-28
NA,NA,NA,NA,NA,CA4064712197519841005,1984-10-05
NA,NA,NA,NA,NA,CA3816412073119840912,1984-09-12
NA,NA,NA,NA,NA,CA4001112181719840907,1984-09-07
NA,NA,NA,NA,NA,CA3898512244019841128,1984-11-28
NA,NA,NA,NA,NA,CA3927012245319841128,1984-11-28
NA,NA,NA,NA,NA,CA3444911848019840622,1984-06-22
NA,NA,NA,NA,NA,CA3480712050119840507,1984-05-07
NA,NA,NA,NA,NA,CA3978412169619840702,1984-07-02
NA,NA,NA,NA,NA,CA3626012031719840525,1984-05-25
NA,NA,NA,NA,NA,CA3490511928619840810,1984-08-10
NA,NA,NA,NA,NA,CA3455211818319840529,1984-05-29
nwis-11273400,11273400,2009-10-07T06:59:59Z,-120.976,37.3472,CA3709812116219840521,1984-05-21
NA,NA,NA,NA,NA,CA3268211688619840421,1984-04-21
NA,NA,NA,NA,NA,CA3294511693519840906,1984-09-06
NA,NA,NA,NA,NA,CA3375011772919840615,1984-06-15
NA,NA,NA,NA,NA,CA3765112147419840628,1984-06-28
NA,NA,NA,NA,NA,CA3519712039419840629,1984-06-29
NA,NA,NA,NA,NA,CA3631411886919840821,1984-08-21
NA,NA,NA,NA,NA,CA3651011888219841010,1984-10-10
NA,NA,NA,NA,NA,CA3444311889619841015,1984-10-15
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2803008115019841224,1984-12-24
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2803008115019841224,1984-12-24
nwis-02266200,02266200,2009-07-10T04:59:59Z,-81.6165,28.385,FL2803008115019841224,1984-12-24
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2803008115019841224,1984-12-24
nwis-02264000,02264000,2007-10-02T04:59:59Z,-81.5195,28.3906,FL2776008141819841224,1984-12-24
nwis-02264100,02264100,2007-10-01T03:59:59Z,-81.5206,28.3253,FL2776008141819841224,1984-12-24
nwis-02266200,02266200,2009-07-10T04:59:59Z,-81.6165,28.385,FL2776008141819841224,1984-12-24
nwis-02266300,02266300,2007-10-01T04:59:59Z,-81.5798,28.3328,FL2776008141819841224,1984-12-24
NA,NA,NA,NA,NA,ID4573711472219840804,1984-08-04
NA,NA,NA,NA,NA,MT4571910583819840827,1984-08-27
NA,NA,NA,NA,NA,MT4842011369719840827,1984-08-27
NA,NA,NA,NA,NA,MT4680511189419840827,1984-08-27
OC,09504420,2016-11-13T01:15:00Z,-111.762,34.8616,AZ3536611193219840614,1984-06-14
WB,09505200,2017-08-04T01:15:00Z,-111.695,34.6793,AZ3536611193219840614,1984-06-14
SC,09510200,2013-06-19T01:15:00Z,-111.506,33.7532,AZ3391411158319840529,1984-05-29
LV,09511300,2017-10-12T01:15:00Z,-111.669,33.5586,AZ3391411158319840529,1984-05-29
MV,09506000,2017-12-06T01:15:00Z,-111.817,34.4992,AZ3391411158319840529,1984-05-29
SYCA-up,NA,2018-01-01T00:00:00Z,-111.509,33.7517,AZ3391411158319840529,1984-05-29
SYCA-down,NA,2018-01-01T00:00:00Z,-111.508,33.7509,AZ3391411158319840529,1984-05-29
RVW,09510200,2012-09-18T16:15:00Z,-111.505,33.7863,AZ3391411158319840529,1984-05-29
SSW,09510200,2012-08-09T15:30:00Z,-111.511,33.7486,AZ3391411158319840529,1984-05-29
SSG,09510200,2014-03-14T21:45:00Z,-111.507,33.7491,AZ3391411158319840529,1984-05-29
SYCAtemp,NA,2022-02-01T00:00:00Z,-111.507,33.7491,AZ3391411158319840529,1984-05-29
NA,NA,NA,NA,NA,NV3936411451419840703,1984-07-03
NA,NA,NA,NA,NA,NV3961311999619840628,1984-06-28
NA,NA,NA,NA,NA,NV3881711969319840628,1984-06-28
NA,NA,NA,NA,NA,CA3445211772619840706,1984-07-06
nwis-11044000,11044000,2007-10-01T06:59:59Z,-117.142,33.4739,CA3341311687319840530,1984-05-30
NA,NA,NA,NA,NA,CA3525312054719840529,1984-05-29
NA,NA,NA,NA,NA,CA4192312065019840813,1984-08-13
NA,NA,NA,NA,NA,CA4003412014019840821,1984-08-21
NA,NA,NA,NA,NA,CA3428511755419840528,1984-05-28
nwis-02234000,02234000,2010-11-11T04:59:59Z,-81.0353,28.7142,FL2912908170019840519,1984-05-19
nwis-02234500,02234500,2010-11-10T04:59:59Z,-81.3242,28.838,FL2912908170019840519,1984-05-19
nwis-02235500,02235500,2009-08-18T04:59:59Z,-81.3398,28.9442,FL2912908170019840519,1984-05-19
nwis-02236000,02236000,2010-11-10T04:59:59Z,-81.3826,29.0083,FL2912908170019840519,1984-05-19
nwis-02236125,02236125,2008-07-11T04:59:59Z,-81.522,29.1669,FL2912908170019840519,1984-05-19
HAT,NA,2019-02-01T05:00:00Z,-82.2006,29.6933,FL2912908170019840519,1984-05-19
HOGDN,NA,2019-02-01T05:00:00Z,-82.3924,29.6369,FL2912908170019840519,1984-05-19
POSNW16,NA,2018-10-01T04:00:00Z,-82.3642,29.6666,FL2912908170019840519,1984-05-19
SWB,NA,2019-04-09T14:00:00Z,-82.3224,29.6304,FL2912908170019840519,1984-05-19
SWBUP,NA,2019-06-14T18:45:00Z,-82.318,29.6381,FL2912908170019840519,1984-05-19
HOGNW16,NA,2018-10-01T04:00:00Z,-82.3486,29.667,FL2912908170019840519,1984-05-19
TUM441,NA,2018-10-01T04:00:00Z,-82.3406,29.6332,FL2912908170019840519,1984-05-19
nwis-04136000,04136000,2007-10-01T04:59:59Z,-84.2925,44.677,MI4442008339519840428,1984-04-28
nwis-04136500,04136500,2007-10-04T04:59:59Z,-84.1311,44.66,MI4442008339519840428,1984-04-28
nwis-04136900,04136900,2007-10-01T04:59:59Z,-83.8378,44.6128,MI4442008339519840428,1984-04-28
nwis-04137005,04137005,2007-10-01T04:59:59Z,-83.8028,44.5608,MI4442008339519840428,1984-04-28
